Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
27/12/2021;0,0054;JRS CAP PROPRIO;21/01/2022							  ;1;HAPV3
27/09/2021;0,0118;JRS CAP PROPRIO;22/10/2021							  ;1;HAPV3
06/07/2021;0,0177;JRS CAP PROPRIO;30/07/2021							  ;1;HAPV3
05/05/2021;0,0026;DIVIDENDO;17/05/2021							  ;1;HAPV3
07/01/2021;0,0251;JRS CAP PROPRIO;30/04/2021							  ;1;HAPV3
10/09/2020;0,1491;JRS CAP PROPRIO;30/04/2021							  ;1;HAPV3
28/04/2020;0,0165;DIVIDENDO;30/12/2020							  ;1;HAPV3
03/01/2020;0,1597;JRS CAP PROPRIO;30/04/2020							  ;1;HAPV3
02/07/2019;0,1554;JRS CAP PROPRIO;30/04/2020							  ;1;HAPV3
22/04/2019;0,1217;DIVIDENDO;30/04/2019							  ;1;HAPV3
14/12/2018;0,1843;JRS CAP PROPRIO;30/04/2019							  ;1;HAPV3
;;;;;HAPV3
2021;0,063;;;;HAPV3
2020;0,325;;;;HAPV3
2019;0,277;;;;HAPV3
2018;0,184;;;;HAPV3
